Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium roqueforti																																																																																																																																																																																																																																																					3.698960																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sp. BW_MB																																																																																	8.279485																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;;;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											313.403042																																																																																																																																																																																																																																																																																																							
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida albicans																																																				2.116047												4.665960												10.213244																													29.354415																																																																																																																												21.200755																																																																																															11.575849																																																																							11.038693																																															24.487824																																																																																																																																																																																																																																											28.304173											7.195805																																																																																																																																																																																																																																																			3.655373																																																																																																																																																																																																																									11.118846						
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida parapsilosis																									10.210222	14.939213												16.038037				99.485949	16.402666			32.278378		44.845041	9.080083		11.675475	9.455642	32.619670			19.435661			29.572331											29.289827				3.559078		22.603929			32.556659										6.251832	24.250644	37.428486			278.885901	16.372900		3.916537				39.876837			22.316221			5.609892				4.758012					17.525955	22.094059					104.514565													14.798758																																																																																																																																																																																										1.855035																																																																																																																									29.272018												4.308025																																																																																																																																													2.675065																																																																																																																																																																																																																																																																																																																																											5.075777																																																																																																																																																					11.551040																																																																															
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces;Debaryomyces hansenii																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											64.821557																																																																																																																																																																																																																																																																																																							
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Lodderomyces;Lodderomyces elongisporus																																																				6.545637																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma;																																																																																																									23.163277																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			7.072862																																																																																																																																																																																																																																																																																																																																																						
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma;Meyerozyma caribbica																																																																																																									13.797474																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma;Meyerozyma guilliermondii																								1.817516																																																																																	11.311544																																																																																																																																																																																																																																																																																																																																												13.470978																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
