lineage	SRS011061	SRS011086	SRS011090	SRS011098	SRS011105	SRS011111	SRS011126	SRS011132	SRS011134	SRS011140	SRS011144	SRS011152	SRS011239	SRS011243	SRS011247	SRS011255	SRS011263	SRS011269	SRS011271	SRS011302	SRS011306	SRS011310	SRS011343	SRS011355	SRS011397	SRS011405	SRS011452	SRS011529	SRS011584	SRS011586	SRS012273	SRS012279	SRS012281	SRS012285	SRS012291	SRS012294	SRS012663	SRS012902	SRS013155	SRS013158	SRS013164	SRS013170	SRS013215	SRS013234	SRS013239	SRS013252	SRS013258	SRS013261	SRS013269	SRS013476	SRS013502	SRS013506	SRS013521	SRS013533	SRS013542	SRS013637	SRS013687	SRS013705	SRS013711	SRS013723	SRS013800	SRS013818	SRS013825	SRS013836	SRS013876	SRS013879	SRS013881	SRS013942	SRS013945	SRS013946	SRS013947	SRS013948	SRS013949	SRS013950	SRS013951	SRS013956	SRS014107	SRS014124	SRS014126	SRS014235	SRS014271	SRS014287	SRS014313	SRS014343	SRS014459	SRS014464	SRS014465	SRS014466	SRS014468	SRS014470	SRS014472	SRS014473	SRS014474	SRS014475	SRS014476	SRS014477	SRS014494	SRS014573	SRS014575	SRS014578	SRS014613	SRS014629	SRS014682	SRS014683	SRS014684	SRS014686	SRS014687	SRS014689	SRS014690	SRS014691	SRS014692	SRS014888	SRS014890	SRS014894	SRS014901	SRS014923	SRS014979	SRS015038	SRS015040	SRS015044	SRS015051	SRS015054	SRS015055	SRS015057	SRS015059	SRS015060	SRS015061	SRS015062	SRS015063	SRS015065	SRS015071	SRS015072	SRS015073	SRS015133	SRS015154	SRS015158	SRS015168	SRS015190	SRS015209	SRS015215	SRS015217	SRS015225	SRS015264	SRS015269	SRS015272	SRS015274	SRS015278	SRS015369	SRS015374	SRS015378	SRS015381	SRS015395	SRS015425	SRS015430	SRS015434	SRS015436	SRS015440	SRS015450	SRS015470	SRS015537	SRS015574	SRS015578	SRS015640	SRS015644	SRS015646	SRS015650	SRS015663	SRS015745	SRS015752	SRS015755	SRS015762	SRS015782	SRS015793	SRS015794	SRS015797	SRS015799	SRS015803	SRS015854	SRS015893	SRS015895	SRS015899	SRS015921	SRS015937	SRS015941	SRS015947	SRS015960	SRS015985	SRS015989	SRS015996	SRS016002	SRS016018	SRS016033	SRS016037	SRS016039	SRS016043	SRS016056	SRS016086	SRS016088	SRS016092	SRS016095	SRS016105	SRS016111	SRS016188	SRS016191	SRS016196	SRS016200	SRS016203	SRS016225	SRS016267	SRS016292	SRS016297	SRS016319	SRS016331	SRS016335	SRS016342	SRS016349	SRS016360	SRS016434	SRS016495	SRS016501	SRS016503	SRS016513	SRS016516	SRS016529	SRS016533	SRS016541	SRS016553	SRS016559	SRS016569	SRS016575	SRS016581	SRS016584	SRS016585	SRS016600	SRS016740	SRS016746	SRS016752	SRS016753	SRS016944	SRS016954	SRS016989	SRS017013	SRS017025	SRS017044	SRS017076	SRS017080	SRS017088	SRS017103	SRS017120	SRS017127	SRS017139	SRS017156	SRS017191	SRS017209	SRS017215	SRS017227	SRS017244	SRS017247	SRS017304	SRS017307	SRS017433	SRS017439	SRS017441	SRS017445	SRS017451	SRS017497	SRS017511	SRS017520	SRS017521	SRS017533	SRS017537	SRS017687	SRS017691	SRS017697	SRS017700	SRS017701	SRS017713	SRS017808	SRS017810	SRS017814	SRS017820	SRS017821	SRS017849	SRS017851	SRS018133	SRS018145	SRS018149	SRS018157	SRS018300	SRS018312	SRS018313	SRS018329	SRS018337	SRS018351	SRS018357	SRS018359	SRS018369	SRS018394	SRS018427	SRS018439	SRS018443	SRS018463	SRS018569	SRS018573	SRS018575	SRS018585	SRS018591	SRS018656	SRS018661	SRS018665	SRS018671	SRS018739	SRS018769	SRS018778	SRS018784	SRS018791	SRS018817	SRS018969	SRS018971	SRS018975	SRS018978	SRS018981	SRS019015	SRS019016	SRS019019	SRS019022	SRS019024	SRS019025	SRS019026	SRS019027	SRS019028	SRS019029	SRS019030	SRS019033	SRS019039	SRS019045	SRS019063	SRS019064	SRS019067	SRS019071	SRS019073	SRS019077	SRS019081	SRS019087	SRS019116	SRS019119	SRS019120	SRS019122	SRS019124	SRS019125	SRS019126	SRS019127	SRS019128	SRS019129	SRS019161	SRS019215	SRS019219	SRS019221	SRS019225	SRS019267	SRS019327	SRS019329	SRS019333	SRS019339	SRS019379	SRS019386	SRS019387	SRS019389	SRS019391	SRS019397	SRS019582	SRS019587	SRS019591	SRS019597	SRS019600	SRS019601	SRS019607	SRS019685	SRS019787	SRS019867	SRS019872	SRS019894	SRS019906	SRS019910	SRS019968	SRS019974	SRS019976	SRS019980	SRS019986	SRS019989	SRS020220	SRS020222	SRS020226	SRS020232	SRS020233	SRS020261	SRS020263	SRS020328	SRS020334	SRS020336	SRS020340	SRS020349	SRS020386	SRS020856	SRS020858	SRS020862	SRS020868	SRS020869	SRS021473	SRS021477	SRS021483	SRS021484	SRS021496	SRS021948	SRS021954	SRS021960	SRS021969	SRS021986	SRS022006	SRS022071	SRS022077	SRS022079	SRS022083	SRS022092	SRS022129	SRS022137	SRS022143	SRS022145	SRS022149	SRS022158	SRS022524	SRS022530	SRS022532	SRS022536	SRS022545	SRS022602	SRS022609	SRS022621	SRS022625	SRS022645	SRS022713	SRS022719	SRS022721	SRS022725	SRS022734	SRS023212	SRS023346	SRS023352	SRS023354	SRS023358	SRS023468	SRS023526	SRS023534	SRS023538	SRS023557	SRS023583	SRS023591	SRS023595	SRS023604	SRS023617	SRS023829	SRS023835	SRS023837	SRS023841	SRS023847	SRS023850	SRS023914	SRS023926	SRS023930	SRS023938	SRS023958	SRS023964	SRS023970	SRS023971	SRS023987	SRS024009	SRS024015	SRS024017	SRS024021	SRS024064	SRS024068	SRS024075	SRS024081	SRS024087	SRS024132	SRS024138	SRS024140	SRS024144	SRS024265	SRS024277	SRS024281	SRS024289	SRS024301	SRS024310	SRS024318	SRS024331	SRS024347	SRS024355	SRS024375	SRS024377	SRS024381	SRS024388	SRS024424	SRS024428	SRS024435	SRS024441	SRS024447	SRS024470	SRS024482	SRS024549	SRS024557	SRS024561	SRS024567	SRS024580	SRS024596	SRS024598	SRS024620	SRS024625	SRS024637	SRS024641	SRS024649	SRS024655	SRS042131	SRS042284	SRS042428	SRS042457	SRS042628	SRS042643	SRS042858	SRS042910	SRS042984	SRS043001	SRS043018	SRS043239	SRS043411	SRS043646	SRS043663	SRS043676	SRS043701	SRS043755	SRS043772	SRS043803	SRS044366	SRS044373	SRS044474	SRS044486	SRS044626	SRS044662	SRS044742	SRS045004	SRS045049	SRS045127	SRS045197	SRS045254	SRS045262	SRS045313	SRS045606	SRS045645	SRS045713	SRS045715	SRS045978	SRS046344	SRS046623	SRS046686	SRS046688	SRS046973	SRS047014	SRS047044	SRS047100	SRS047113	SRS047210	SRS047219	SRS047225	SRS047254	SRS047265	SRS047335	SRS047634	SRS047824	SRS047844	SRS048164	SRS048411	SRS048719	SRS048791	SRS048870	SRS049147	SRS049164	SRS049237	SRS049268	SRS049283	SRS049318	SRS049389	SRS049712	SRS049744	SRS049900	SRS049959	SRS049995	SRS050007	SRS050025	SRS050029	SRS050184	SRS050244	SRS050299	SRS050422	SRS050484	SRS050628	SRS050669	SRS050752	SRS050925	SRS051031	SRS051116	SRS051244	SRS051378	SRS051505	SRS051600	SRS051613	SRS051791	SRS051882	SRS051930	SRS051941	SRS052027	SRS052227	SRS052330	SRS052590	SRS052604	SRS052620	SRS052668	SRS052697	SRS052756	SRS052874	SRS052876	SRS052988	SRS053214	SRS053335	SRS053398	SRS053437	SRS053584	SRS053603	SRS053630	SRS053854	SRS053917	SRS054061	SRS054430	SRS054569	SRS054590	SRS054653	SRS054687	SRS054776	SRS054956	SRS054962	SRS055118	SRS055298	SRS055378	SRS055401	SRS055426	SRS055450	SRS055495	SRS055982	SRS056157	SRS056210	SRS056259	SRS056323	SRS056519	SRS056622	SRS056695	SRS056796	SRS056892	SRS057022	SRS057083	SRS057205	SRS057355	SRS057478	SRS057539	SRS057692	SRS057717	SRS057791	SRS057807	SRS058053	SRS058105	SRS058182	SRS058186	SRS058213	SRS058221	SRS058336	SRS058723	SRS058770	SRS058808	SRS062427	SRS062520	SRS062540	SRS062544	SRS062713	SRS062752	SRS062761	SRS062878	SRS063035	SRS063040	SRS063178	SRS063193	SRS063215	SRS063272	SRS063287	SRS063288	SRS063351	SRS063417	SRS063478	SRS063603	SRS063932	SRS063985	SRS063999	SRS064219	SRS064276	SRS064329	SRS064376	SRS064423	SRS064449	SRS064493	SRS064557	SRS064645	SRS064704	SRS064774	SRS064809	SRS065099	SRS065133	SRS065142	SRS065179	SRS065278	SRS065310	SRS065335	SRS065347	SRS065431	SRS065504	SRS075398	SRS075404	SRS075406	SRS075410	SRS075419	SRS077730	SRS077736	SRS077738	SRS077751	SRS078176
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;;																																																																																																																																																																																																																																																																																																													0.00278			0.002429																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									0.003908																																																																																																																																																																																																																												
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida albicans											0.108339			0.001574	0.007247	0.014265																																			0.003559																																																							0.019701		0.008770	0.002435	0.004524	0.009561																																				0.102929																																																						0.107761	0.259625									0.047403																																		0.002440				0.002367		0.005509																			0.002118		0.016449											0.003349	0.003202							0.001495										0.040018		0.059655	0.021338																							0.074400	0.009119		0.002975				0.074953																									0.008405																																																											0.007731																																					0.002885											0.299297																													0.004767			0.003175																					0.003016		0.015393				0.616720																0.043247	0.028888											0.006297																																																												0.142633						0.012062																			0.031653													0.050627																													0.047189																																																													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida dubliniensis																																																																																																																																																																																																																																																																																																																																																																																																																	0.024997																																																																																																																																																																																																																																																																																																																																																				
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida parapsilosis																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.008980																																																																																																																																																																												0.088892																																																												
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida tropicalis																																																				0.006951																																																																																	0.127103											0.186397								0.001809				0.009084																																																																																																																			0.035551						0.003716														0.003484																									0.001430																																																																																																													0.118052																																																																														0.040874												0.004071									0.002387																																																	0.043791																																																																																																	0.003458																																																										0.011527													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.129742																																																																																																																																																																																																																								
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces;Debaryomyces hansenii																																																																																																																											0.013959	0.000667																																																																																																																																																																																																																																				0.003891																																																																																																																																																													0.007853																																																																																						0.000765																																																																																																																																																		
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Lodderomyces;																																																																																																																																																			0.008654																																																																																																																																																																																																																																																														0.001949																																																																																																																																																																																																																																																																																																																																																				
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Lodderomyces;Lodderomyces elongisporus																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.003096																																																																																																																																																																																																																																								
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia;Yarrowia alimentaria																																																																																																																											0.022268																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia;Yarrowia galli																																																																																																																									0.121527																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora;[Candida] intermedia																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									0.226384																																																												
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia;Metschnikowia fructicola																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									0.019132																																																												
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				0.001461																																																																																																	
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera;Cyberlindnera jadinii																																															0.006450					0.006094													0.068079																																							0.001227				0.002259	0.002308	0.003372	0.004130				0.143217						0.210439												0.188054											0.180370								0.001129				0.006960																																																																																																																			0.029028						0.003521														0.002464																									0.001047								0.016385	0.067581																		0.019778																																																					0.004750	0.001677																								0.000670	0.036175			0.109204																																																																														0.031885						0.008924						0.003674									0.002189																																	0.017065		0.000652														0.044162																																																														0.022192						0.082787																												0.000891	0.002984	0.001438													0.001089																																												0.031498													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Wickerhamomyces;Wickerhamomyces anomalus																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.005941																																																																																																																																																																																																																																								
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia kluyveri																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.005911																																																																																																																																																																																								
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia membranifaciens																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.009692																																																																																																																																																																																																																																								
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Nakaseomyces;[Candida] glabrata																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								0.146590																																																																																																																																																																																																																																													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae																															0.000591									0.000764																																																																												0.000830	0.000884													0.001155																																0.001123																																																																																																																																	0.000875																									0.000744																																																																																																															0.000723		0.002477																																													0.001390																													0.017919																					0.001580																																																																				0.000654		0.000723																																													0.000931													0.002052																			0.000831									0.013976																0.000811																																				0.001262					0.000734				
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora;Torulaspora delbrueckii																																																																																																																																																																																																																																															0.042165																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.015744																																																																																																																																																																																								
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		0.001014																																																																																																																																																																																																			
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium nanum																								0.016226																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Chaetomium;Chaetomium globosum																																																																																																																																																																																																																																																																																																																																		0.126461																																																																																																																																																																																																																																																																																																																																																																																																																																			
Fungi;Basidiomycota;;;;;																																															0.008274																																																																																																																																																																																																																																																																																		0.005334			0.01381	0.105306																																																																																																																																																				0.156168																																																																																																																																																																																																																																																																												
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae;Schizopora;Schizopora paradoxa																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									0.095643																																																												
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Irpicaceae;Irpex;Irpex lacteus																																																																																																																																																																																							0.031337																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Trametes;Trametes versicolor																																																																																																																																																																																							0.125864																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Fungi;Basidiomycota;Agaricomycetes;Russulales;Peniophoraceae;Peniophora;Peniophora sp. CONT																																																																																																																																																																																							0.062759																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Fungi;Basidiomycota;Agaricomycetes;Russulales;Stereaceae;Stereum;																																																																																																																																																																																							0.072561																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Fungi;Basidiomycota;Exobasidiomycetes;Microstromatales;;Pseudomicrostroma;Pseudomicrostroma glucosiphilum																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							0.001334																																																														
Fungi;Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia;																																															0.004496																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;																																															0.006968																													0.434474																											0.081533												0.191511																																																										1.024547																0.122994														0.217576																																				0.040398																										0.455031																																																								0.032632		0.016279	0.049488	0.453886										0.63225		0.062165	0.009978					0.077504		0.01433	0.842146																																											0.272892								0.004857																																				0.018311										0.025774																														0.227592																																				0.011706						0.009789																					0.021445														0.000563		0.002581					0.052568					0.230062	0.023481		0.007776																																																																						0.031535																																										0.001913					0.038598																																																											
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia dermatis																																																																																																																																																																																																																																																												0.114229																													0.028146		0.008080	0.006333																																																																																																0.070803																															0.146824														0.099984																																																																														0.055353																			0.005242																																																																																																																																																																																																																											
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia globosa								0.179880																											0.251248		0.068206										0.012098	0.006648	0.086771							0.437791									0.029159			0.011066								0.703470																											0.049291												0.104429						0.155222						0.015160																			0.067049					0.331327							0.553459											0.095830														0.046027					0.000757				0.108361																		0.068716								0.237500													0.196155						0.058586		0.070865					0.069389								0.213582													0.092389						0.013175			0.065614							0.097049		0.988468	0.126934													0.341452									0.147523					0.248018				0.171317						1.123097	0.212587	0.018629	0.024619	0.061551									0.077618	0.158091		0.065760	0.067368	0.163350				0.096072	0.150031	0.014429	0.123083	0.023881				0.000830					0.617540										0.140189														0.194170														0.062458		0.094915	0.013915						0.039175				0.115749				0.288749								0.027807						0.123953								0.018072							0.201817						0.037532																			0.019769							0.000975	0.218526		0.002342																												0.024129						0.119482						0.008179	0.006282	0.128681					0.068017	0.001692																		0.002639		0.014822		0.042582							0.001574									0.007993	0.303254	0.006074		0.014277				0.002281				0.043409																								0.130672	0.391548																	0.142147																0.031349										0.119972								0.038686										0.370378											0.004068								0.003446	0.179754			0.035364	0.001143												0.072879																																														
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia pachydermatis																																																																																																																																																																																																																																																																																																																																																	0.017703	0.009427																																																																																																																																																																																																																																																																																																																																																																																																																			
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia restricta					0.024061		0.000515	0.240416			0.032087						0.257902			0.000347					0.046037		0.001406								0.355730		0.185368		0.309190	0.000960				0.000763	0.006989		0.817451	0.849373	0.305246		0.001860	0.001937				0.271759			0.012299	0.001342		0.002870	0.010809		0.159063				0.001604				0.001757			1.592396										2.354445								0.092217									0.636334							0.005395		0.001362			3.882206	0.000873					0.200864		0.007991			0.001868															0.001146		0.001443	0.181593		0.026897			0.008953		0.084819		0.010327	0.221572		0.003359		0.548965											0.104320				5.786706					0.000510					0.120055						1.659456			0.161048											0.857748							0.789402						0.012212		0.395785				0.761815		0.001001		0.001698	0.715920	0.042043	0.000598		0.328929			0.008492		0.001700	1.150124		0.990820			0.004042		0.260176			0.004239			0.003706		0.209400				0.000687							0.007532	0.000738						0.001367	0.012601			0.189950			0.002210				0.100712		1.577132	1.232311				0.001127	0.000855		0.000441	0.005279	0.001777				0.358734	0.000440			0.000454	0.112536	0.068632			0.533666			0.005047	0.001584	0.515132				1.579206				0.007560	0.001824	0.490304	0.254708	0.362369	0.486564		0.000557								0.373089		0.000840	0.549168	0.388865	0.328086				0.465929	0.324184	0.166509	1.485692	0.009842					0.002627				0.574776								0.283131		0.237076						0.003308		0.170769						0.517832									3.517577			0.016471		0.097644		0.633866	0.485340		0.000781				0.058226			0.004714	0.121337				0.374063								0.038671						0.851564				0.001998					0.001503					0.008211	0.311515						0.120480			0.017491				0.176388	0.002298	0.004186		0.033355			0.001172					0.013158			0.001454		0.000559			0.632775		0.006995		0.001692			0.121228										0.000733	0.002251		2.075921	0.001621	0.002046		0.005246		0.001016	0.009487	0.001661		0.037087	0.063299					2.334443	0.000612			0.292504	0.000530	0.280337	0.792877	0.047486		0.001935	0.395401		0.028254		0.002269														0.002621			0.005597	0.046456	0.008908		0.379419		0.421066				0.008523				0.005229		1.859566					2.597777		0.001072	0.355391	0.209590	0.001032		0.002993		0.001487		0.128254	0.090233	0.005774				0.059614		0.000629				0.003025	0.001481		0.001818	0.025245								0.122200	0.766555	0.005552	0.035037				0.059154							0.000723			0.192221	0.213139		0.000813				0.002358		0.154045			0.004924			0.003952	0.000534	0.072057					0.001177			0.001409	0.000733	0.863721					0.001123		0.000534	0.051982					0.001418					0.421109						0.002879			0.132674	0.000687			0.000821	0.000772			0.009858			1.843262		0.171712	0.399681	0.002403						0.001224		0.027970			0.001126	0.115410		1.078264			0.005488							0.000928														0.011747				0.726870		0.004189								0.000601						
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia sympodialis																																																																																																																																																							0.050891																		0.151028																																																																																			0.110485																																																																																					0.010684	0.007450					0.014223																																																												0.033211																																																																																																																																																																		0.009765																																																																		0.004477																																																																0.041031																																														
Fungi;Basidiomycota;Tremellomycetes;;;;																																																0.003905																																																																																																																																																																																																																																												0.006721																																																																																																																																																																																																																																	0.010454																																																																																																																																																																																																																																								
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;;																																																																																																																																																																																																																																																																																											0.004806																																																							0.002628																																																										0.004102																																																																																																																							0.003028	0.005036																																																																																																																																																																			0.014237																																																														
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Apiotrichum;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										0.002153																																											
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Cutaneotrichosporon;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.007242																																																																																																																																																																																																																																								
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.006489																																																																																																																																																																																								
Fungi;Basidiomycota;Ustilaginomycetes;;;;																																																																																																																																																																																																																																																																																												0.003445																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Fungi;Basidiomycota;Ustilaginomycetes;Urocystidales;Glomosporiaceae;Thecaphora;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.008730																																																																																																																																																																																								
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Anthracocystis;																																																																																																																																																																																																																																																																																																																																																																																																												0.001506																																																																																																																	0.005332																																																																																																																																																																																																																																								
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Sporisorium;																																																0.002110																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Ustilago;Ustilago bromivora																																																																																																																																																																																																																																																																																																																																															0.057230																																																																																																																																																																																																																																																																																																																																																																																																																						
Fungi;Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia;Wallemia mellicola																																																																																																																																																																																																																																																																																												0.000816																											0.227095																																																																																																																																																																																																																																																																																																																																																																																																																																														
Fungi;Mucoromycota;Mucoromycetes;Mucorales;Lichtheimiaceae;Lichtheimia;Lichtheimia ramosa																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				0.000795																																																																																																																																																																																																																	
Fungi;Mucoromycota;Mucoromycetes;Mucorales;Rhizopodaceae;Rhizopus;Rhizopus stolonifer																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						0.070948																																																																																																																																															
Metazoa;Arthropoda;;;;;																																																																																																																																																																																																																																																																																																																																																		0.009196																																																																																																																																																																																																																																																																																																																																																																																																																			
Metazoa;Arthropoda;Arachnida;Sarcoptiformes;Pyroglyphidae;Dermatophagoides;Dermatophagoides pteronyssinus																																																																																																																																																																																																																																																																																																					0.002616																																																																																																																																																																																																																																																																																																																																																																																																																																																																
Metazoa;Arthropoda;Insecta;Diptera;Psychodidae;Clogmia;Clogmia albipunctata																																																																																																																																																																																																																																																																																												0.001253																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Metazoa;Arthropoda;Insecta;Hymenoptera;Vespidae;Polistes;																																																																																																																																																																																																																																																																																																																																																									0.012182																																																																																																																																																																																																																																																																																																																																																																																																												
Viridiplantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Scenedesmus;																																																																																																																																																																																																																																																																																										0.000486																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
