source_taxon	source_taxon_name	kingdom	avg_mapq	precision	precision_mapq_at_least_30
1460502	Colletotrichum nymphaeae SA-01	Fungi	18.554	0.884	0.977
192010	Fusarium mangiferae	Fungi	18.554	0.860	0.992
30195	Bombus terrestris	Metazoa	18.565	0.823	0.984
2056389	Chlamydomonas sp. AIC	Plants	18.568	0.676	1.000
1756246	Heliconius hecuba flava	Metazoa	18.571	0.829	1.000
6186	Schistosoma curassoni	Metazoa	18.580	0.754	0.933
743301	Xylaria striata	Fungi	18.591	0.932	1.000
307971	Apostichopus	Metazoa	18.625	0.750	1.000
1051616	Verticillium nonalfalfae	Fungi	18.673	0.866	0.948
1442368	Fonsecaea pedrosoi CBS 271.37	Fungi	18.674	0.852	0.976
1699426	Metschnikowia bowlesiae	Fungi	18.726	0.868	0.975
2594811	Fusarium clavum	Fungi	18.752	0.867	0.996
7461	Apis cerana	Metazoa	18.759	0.887	0.971
1294628	Claviceps microcephala	Fungi	18.766	0.863	0.980
118614	Oehlia diaphana	Fungi	18.782	0.896	0.968
761204	Phytophthora parasitica INRA-310	Protists	18.791	0.767	1.000
237895	Cryptosporidium hominis	Protists	18.821	0.795	0.947
61471	Timema	Metazoa	18.823	0.901	0.988
298378	Fusarium incarnatum	Fungi	18.825	0.858	0.992
2080616	Eurotiomycetes sp. MA 6039	Fungi	18.836	0.897	0.969
347515	Leishmania major strain Friedlin	Protists	18.860	0.791	1.000
452695	Synergus japonicus	Metazoa	18.864	0.883	0.979
221167	Fusarium xylarioides	Fungi	18.962	0.840	0.970
127322	Heliconiini	Metazoa	19.000	1.000	1.000
30033	Drosophila kikkawai	Metazoa	19.036	0.894	0.990
207636	Bombus haemorrhoidalis	Metazoa	19.047	0.843	1.000
720590	Plasmodium sp. DRC-Itaito	Protists	19.091	0.758	1.000
165430	Aphaenogaster	Metazoa	19.099	0.840	0.971
87230	Botrytis tulipae	Fungi	19.127	0.875	0.993
367775	Cryptococcus gattii WM276	Fungi	19.137	0.848	0.980
1928478	Aureobasidium sp. FSWF8-4	Fungi	19.163	0.878	0.971
61476	Timema cristinae	Metazoa	19.177	0.799	0.980
292155	Pseudomyrmex dendroicus	Metazoa	19.180	0.890	0.995
909788	Ormyrus pomaceus	Metazoa	19.264	0.914	0.985
231269	Fusarium coffeatum	Fungi	19.267	0.866	0.985
55307	Tuber indicum	Fungi	19.271	0.879	0.979
170555	Timema monikensis	Metazoa	19.277	0.830	0.966
5453	Ascochyta	Fungi	19.286	0.921	0.996
420778	Diplodia seriata	Fungi	19.308	0.878	0.980
1487592	Boletoideae	Fungi	19.333	0.747	1.000
5455	Colletotrichum	Fungi	19.340	0.887	0.987
2050978	Fusarium algeriense	Fungi	19.386	0.888	0.985
40354	Fonsecaea	Fungi	19.396	0.958	1.000
61482	Timema podura	Metazoa	19.397	0.857	0.968
300112	Temnothorax longispinosus	Metazoa	19.410	0.865	0.970
39416	Tuber melanosporum	Fungi	19.421	0.881	0.979
747089	Rhizophagus irregularis DAOM 181602=DAOM 197198	Fungi	19.442	0.859	0.931
1420915	Pseudogymnoascus sp. VKM F-4520 (FW-2644)	Fungi	19.481	0.867	1.000
109356	Drosophila leontia	Metazoa	19.484	0.860	0.990
66735	Diplodia	Fungi	19.490	0.923	1.000
2021124	Botryosphaeria kuwatsukai	Fungi	19.498	0.874	0.964
249398	Fusarium commune	Fungi	19.501	0.876	0.989
1848828	Micromonas polaris	Plants	19.521	0.873	0.978
2107715	Rhizopogon sp. AM-2018a	Fungi	19.531	0.848	0.986
1506151	Aspergillus pseudonomius	Fungi	19.532	0.873	0.981
129364	Phytophthora rubi	Protists	19.550	0.800	0.962
42062	Drosophila nasuta	Metazoa	19.556	0.801	0.966
2494468	Fusarium nanum	Fungi	19.576	0.861	0.993
167038	Synergus	Metazoa	19.579	0.789	0.909
519352	Echinococcus canadensis	Metazoa	19.583	0.830	0.974
5042	Eurotiales	Fungi	19.583	0.864	0.990
1296111	Cryptococcus gattii CA1873	Fungi	19.585	0.868	0.969
654580	Meloidogyne incognita group	Metazoa	19.593	0.778	1.000
1316785	Lachnellula arida	Fungi	19.596	0.866	0.978
98233	Rhizopogon hawkerae	Fungi	19.606	0.846	0.981
65662	Acanthamoeba pearcei	Protists	19.624	0.788	0.951
27357	Colletotrichum acutatum	Fungi	19.631	0.915	0.986
2056394	Chloromonas sp. AAM2	Plants	19.672	0.672	1.000
413071	Trichoderma virens Gv29-8	Fungi	19.680	0.800	0.958
1290454	Mucor irregularis B50	Fungi	19.680	0.842	0.967
5073	Penicillium	Fungi	19.696	0.897	0.994
2053599	Characiochloris sp. AAM3	Plants	19.706	0.725	1.000
1296105	Cryptococcus gattii VGIV IND107	Fungi	19.725	0.850	0.988
526221	Verticillium alfalfae VaMs.102	Fungi	19.729	0.875	0.974
1974180	Talaromyces adpressus	Fungi	19.766	0.858	0.978
2080615	Eurotiomycetes sp. MA 6038	Fungi	19.811	0.910	0.982
2153246	Aspergillus sp. MA 6037	Fungi	19.827	0.889	0.956
5110	Claviceps	Fungi	19.866	0.882	1.000
462795	Uromyces transversalis	Fungi	19.912	0.684	0.926
1580853	Huntiella	Fungi	19.917	1.000	1.000
929439	Leishmania mexicana MHOM/GT/2001/U1103	Protists	19.920	0.880	1.000
1460289	Chrysochromulina tobinii	Protists	19.929	0.893	1.000
171917	Heliconius melpomene melpomene	Metazoa	19.988	0.833	0.985
42665	Fusarium udum	Fungi	20.034	0.857	0.974
27320	Metschnikowia	Fungi	20.051	0.860	0.989
181343	Rhizopogon rudus	Fungi	20.066	0.833	0.991
270525	Tetragonula clypearis	Metazoa	20.102	0.832	0.988
5537	Rhodotorula mucilaginosa	Fungi	20.116	0.785	0.945
1150643	Metschnikowia proteae	Fungi	20.134	0.872	0.961
1043002	Aureobasidium pullulans EXF-150	Fungi	20.142	0.863	0.965
591002	Ormyrus nitidulus	Metazoa	20.154	0.889	0.986
426428	Fusarium oxysporum f. sp. lycopersici 4287	Fungi	20.278	0.878	0.986
55181	Phyllosticta citricarpa	Fungi	20.298	0.891	0.971
7091	Bombyx mori	Metazoa	20.300	0.841	0.951
54673	Botryotinia convoluta	Fungi	20.301	0.890	0.987
138282	Aspergillus sclerotiorum	Fungi	20.317	0.923	0.981
1294630	Claviceps spartinae	Fungi	20.344	0.879	0.974
7230	Drosophila mojavensis	Metazoa	20.373	0.930	0.995
1420913	Pseudogymnoascus sp. VKM F-4518 (FW-2643)	Fungi	20.428	0.876	0.990
1506548	Metschnikowia drakensbergensis	Fungi	20.440	0.892	0.966
1041577	Fusarium burgessii	Fungi	20.452	0.904	0.977
37627	Aphidius ervi	Metazoa	20.469	0.864	0.962
171627	Fusarium fujikuroi species complex	Fungi	20.489	0.870	0.988
569360	Fusarium sambucinum species complex	Fungi	20.503	0.836	1.000
6209	Echinococcus	Metazoa	20.529	0.824	0.889
1579977	Auricularia heimuer	Fungi	20.572	0.857	0.990
158606	Trametes sanguinea	Fungi	20.699	0.842	0.951
278948	Botrytis paeoniae	Fungi	20.769	0.875	0.994
278943	Botrytis hyacinthi	Fungi	20.784	0.874	0.993
47428	Armillaria ostoyae	Fungi	20.817	0.840	0.971
473952	Osmia lignaria	Metazoa	20.877	0.910	0.969
46731	Pocillopora damicornis	Metazoa	20.888	0.855	0.984
4790	Phytophthora nicotianae	Protists	20.892	0.784	0.944
2039273	Moesziomyces sp. F16C1	Fungi	20.898	0.873	0.984
5157	Ceratocystis	Fungi	20.927	0.875	0.979
61605	Acanthamoeba lugdunensis	Protists	20.942	0.839	0.952
6210	Echinococcus granulosus	Metazoa	20.942	0.877	0.945
311874	Megastigmus stigmatizans	Metazoa	20.969	0.914	0.989
1301520	Cronartium quercuum f. sp. banksianae CqE3WM	Fungi	21.000	0.750	0.833
222440	Streblomastix strix	Protists	21.000	1.000	1.000
595635	Phyllosticta citriasiana	Fungi	21.017	0.886	0.981
2070414	Rutstroemia sp. NJR-2017a BBW	Fungi	21.028	0.875	0.980
171913	Heliconius hierax	Metazoa	21.050	1.000	1.000
448386	Gracilariopsis chorda	Protists	21.070	0.838	1.000
2593313	unclassified Penicillium	Fungi	21.085	0.892	1.000
28610	Rhagoletis pomonella	Metazoa	21.129	0.851	0.977
420281	Proboscia inermis	Protists	21.139	0.861	0.944
67534	Drosophila triauraria	Metazoa	21.159	0.893	0.983
2499237	Alternaria sect. Alternaria	Fungi	21.168	0.880	1.000
1353009	Trametes coccinea BRFM310	Fungi	21.195	0.831	0.943
629358	Timema genevievae	Metazoa	21.211	0.836	0.971
119953	Alternaria atra	Fungi	21.255	0.925	0.981
196912	Acanthamoeba mauritaniensis	Protists	21.260	0.849	0.975
42155	Brugia timori	Metazoa	21.300	0.750	1.000
268474	Trichinella papuae	Metazoa	21.339	0.849	0.948
1420902	Pseudogymnoascus sp. VKM F-4246	Fungi	21.395	0.908	0.988
120017	Ustilago hordei	Fungi	21.433	0.913	0.987
1091232	Meyerozyma caribbica MG20W	Fungi	21.455	0.822	0.971
1448311	Aspergillus vadensis CBS 113365	Fungi	21.476	0.881	0.997
756076	Cryptosporidium tyzzeri	Protists	21.492	0.814	0.944
305400	Chrysoporthe cubensis	Fungi	21.554	0.904	0.991
6184	Schistosoma bovis	Metazoa	21.577	0.835	0.969
1076256	Armillaria solidipes	Fungi	21.592	0.852	0.985
