source_taxon	source_taxon_name	kingdom	avg_mapq	precision	precision_mapq_at_least_30
34458	Ganoderma boninense	Fungi	29.808	0.933	0.994
46829	Drosophila birchii	Metazoa	29.816	0.958	0.997
31243	Globodera rostochiensis	Metazoa	29.888	0.934	0.974
1573607	Schizochytrium sp. CCTCC M209059	Protists	29.917	0.962	0.992
46947	Geminigera cryophila	Protists	29.919	0.984	1.000
1622147	Pseudogymnoascus sp. WSF 3629	Fungi	29.922	0.963	0.998
2364126	Prorocentrum cordatum	Protists	29.957	1.000	1.000
2029559	Trypanosomatidae sp. JR-2017a	Protists	29.983	1.000	1.000
5597	Scedosporium boydii	Fungi	29.993	0.951	0.998
909778	Eupelmus annulatus	Metazoa	29.997	0.958	0.996
5693	Trypanosoma cruzi	Protists	30.000	1.000	1.000
6851	Tachypleus	Metazoa	30.000	1.000	1.000
1697387	Metschnikowia matae var. maris	Fungi	30.014	0.947	0.991
1266766	Neurospora africana FGSC 1740	Fungi	30.023	0.924	0.984
310279	Eupelmus urozonus	Metazoa	30.057	0.964	0.993
5824	Plasmodium brasilianum	Protists	30.059	0.824	1.000
156230	Karenia brevis	Protists	30.076	1.000	1.000
329046	Rhizoclosmatium globosum	Fungi	30.086	1.000	1.000
82522	Cutaneotrichosporon mucoides	Fungi	30.094	0.912	0.990
91925	Exophiala lecanii-corni	Fungi	30.105	0.893	0.990
27406	Cherax quadricarinatus	Metazoa	30.130	0.950	0.995
47281	Edaphochlamys debaryana	Plants	30.141	0.944	0.991
312341	Ceratocystis harringtonii	Fungi	30.144	0.978	0.998
672127	Thraustochytrium sp. ATCC 26185	Protists	30.148	0.901	1.000
38281	Heteractis magnifica	Metazoa	30.152	0.962	0.983
48148	Protomyces pachydermus	Fungi	30.153	0.950	0.998
473037	Metschnikowia similis	Fungi	30.156	0.951	0.995
1266767	Neurospora sublineolata FGSC 5508	Fungi	30.170	0.922	0.995
1077358	Coniothyrium glycines	Fungi	30.177	0.959	0.996
34615	Ixodes persulcatus	Metazoa	30.217	0.941	0.987
1392248	Aspergillus campestris IBT 28561	Fungi	30.225	0.963	1.000
749593	Epicoccum sorghinum	Fungi	30.227	0.972	0.998
1079131	Ilyonectria mors-panacis	Fungi	30.230	0.968	1.000
5323	Pleurotus eryngii	Fungi	30.237	0.938	1.000
1365886	Zygosaccharomyces parabailii	Fungi	30.241	0.919	0.998
35677	Pelagomonas calceolata	Protists	30.299	1.000	1.000
42258	Zygosaccharomyces mellis	Fungi	30.310	0.972	1.000
1439348	Penicillium paneum FM227	Fungi	30.313	0.952	1.000
756769	Saturnispora serradocipensis	Fungi	30.327	0.956	1.000
5322	Pleurotus ostreatus	Fungi	30.407	0.968	0.991
13164	Myzus persicae	Metazoa	30.417	0.940	0.996
401625	Ceraceosorus bombacis	Fungi	30.418	0.957	0.993
229219	Blastomyces	Fungi	30.423	0.978	0.997
186038	Fragilariopsis kerguelensis	Protists	30.430	1.000	1.000
82521	Apiotrichum montevideense	Fungi	30.440	0.967	0.995
390850	Meloidogyne enterolobii	Metazoa	30.441	0.883	0.983
64609	Ilyonectria destructans	Fungi	30.460	0.949	0.991
1709936	Eurotiomycetes sp.	Fungi	30.470	0.972	1.000
1501327	Tolypocladium sp. Sup5 PDA-1	Fungi	30.472	0.957	0.998
2070413	Rutstroemia sp. NJR-2017a BVV2	Fungi	30.478	0.954	1.000
1226778	Epichloe elymi E56	Fungi	30.500	1.000	1.000
1209931	Colletotrichum salicis	Fungi	30.507	0.957	1.000
216777	Proboscia alata	Protists	30.528	0.990	0.996
37852	Aphidius	Metazoa	30.529	0.943	0.966
129132	Cutaneotrichosporon dermatis	Fungi	30.531	0.911	0.992
7232	Drosophila navojoa	Metazoa	30.561	0.952	0.995
202456	Aulacorthum solani	Metazoa	30.563	0.962	1.000
38822	Pteridomonas danica	Protists	30.573	1.000	1.000
111875	Drosophila jambulina	Metazoa	30.589	0.949	0.997
665912	Bipolaris sorokiniana ND90Pr	Fungi	30.603	0.944	1.000
1283841	Stachybotrys chlorohalonata IBT 40285	Fungi	30.620	0.970	0.998
71465	Cylicostephanus goldi	Metazoa	30.667	1.000	1.000
117008	Cryptosporidium andersoni	Protists	30.700	0.970	0.988
189290	Meloidogyne	Metazoa	30.714	0.857	1.000
74722	Stachybotrys chartarum	Fungi	30.724	0.970	0.998
370619	Tricholoma saponaceum var. saponaceum	Fungi	30.727	1.000	1.000
261815	Eurytoma brunniventris	Metazoa	30.745	0.976	0.997
219809	Pseudomyrmex gracilis	Metazoa	30.749	0.946	1.000
933389	Penicillium decumbens JU-A10	Fungi	30.750	1.000	1.000
880536	Plasmodium sp. gorilla clade G3	Protists	30.767	0.950	1.000
41067	Aspergillus candidus	Fungi	30.781	0.960	0.996
1507870	Rachicladosporium antarcticum	Fungi	30.781	0.934	0.993
2109596	Fusarium burgessii species complex	Fungi	30.833	0.867	1.000
2684950	unclassified Rutstroemia	Fungi	30.836	0.955	0.990
879823	Pleurotus tuoliensis	Fungi	30.866	0.951	0.990
56874	Lipomyces mesembrius	Fungi	30.874	0.964	1.000
27331	Protomyces	Fungi	30.875	1.000	1.000
71717	Coprinellus micaceus	Fungi	30.892	1.000	1.000
7252	Drosophila melanica	Metazoa	30.898	0.980	1.000
33194	Bipolaris	Fungi	30.908	0.965	1.000
206542	Knufia petricola	Fungi	30.914	0.969	0.996
152502	Fusarium hostae	Fungi	30.959	0.949	1.000
27334	Penicillium expansum	Fungi	30.962	0.955	0.998
189258	Drosophila micromelanica	Metazoa	30.971	0.964	0.992
1176355	Hamiltosporidium tvaerminnensis	Fungi	31.000	1.000	1.000
34416	Microbotryum	Fungi	31.000	1.000	1.000
7112	Helicoverpa	Metazoa	31.000	1.000	1.000
1735278	Hymenoscyphus infarciens	Fungi	31.006	0.958	0.993
86259	Venturia nashicola	Fungi	31.013	0.966	0.998
1182543	Cladophialophora psammophila CBS 110553	Fungi	31.024	0.969	0.998
82514	Apiotrichum domesticum	Fungi	31.029	0.959	0.990
84753	Moesziomyces antarcticus	Fungi	31.032	0.963	0.998
665024	Bipolaris maydis ATCC 48331	Fungi	31.074	0.970	1.000
994334	Jimgerdemannia flammicorona	Fungi	31.077	0.956	0.989
2607531	Octopus sinensis	Metazoa	31.091	0.970	0.996
51511	Ciona savignyi	Metazoa	31.113	1.000	1.000
2926	Alexandrium tamarense	Protists	31.114	0.987	1.000
37099	Isochrysis galbana	Protists	31.142	1.000	1.000
357446	Ceratocystis albifundus	Fungi	31.144	0.975	0.998
2164086	Blastomyces sp. MA-2018	Fungi	31.158	0.953	1.000
253104	Hymenoscyphus herbarum	Fungi	31.178	0.968	1.000
86788	Ramalina intermedia	Fungi	31.193	0.957	0.996
1194394	Scheffersomyces shehatae ATCC 22984	Fungi	31.200	1.000	1.000
36050	Fusarium poae	Fungi	31.201	0.958	1.000
710243	Colletotrichum fioriniae	Fungi	31.217	0.967	1.000
45264	Acropora millepora	Metazoa	31.232	0.939	0.972
31271	Plasmodium chabaudi chabaudi	Protists	31.234	0.948	1.000
41047	Aspergillus thermomutatus	Fungi	31.263	0.965	1.000
36781	Magnaporthiopsis incrustans	Fungi	31.265	0.943	0.998
500994	Trichoderma pleuroti	Fungi	31.265	0.958	1.000
77546	Scenedesmus vacuolatus	Plants	31.280	0.959	1.000
545651	Sporothrix globosa	Fungi	31.302	0.973	0.998
67801	Glossina palpalis gambiensis	Metazoa	31.318	0.960	1.000
1325723	Fusarium neocosmosporiellum	Fungi	31.324	0.953	0.998
87228	Myriosclerotinia curreyana	Fungi	31.362	0.960	0.998
34457	Ganoderma australe	Fungi	31.428	0.985	1.000
104782	Adineta vaga	Metazoa	31.449	1.000	1.000
32348	elegans subgroup	Metazoa	31.455	0.909	1.000
5140	Neurospora	Fungi	31.462	0.962	1.000
2315210	Hondaea fermentalgiana	Protists	31.478	0.957	0.986
743375	Polistes dominula	Metazoa	31.489	0.962	1.000
297360	Saturnispora hagleri	Fungi	31.497	0.975	1.000
1436940	Pseudogymnoascus sp. BL308	Fungi	31.538	0.969	1.000
29909	Tolypocladium	Fungi	31.541	0.964	1.000
1436941	Pseudogymnoascus sp. BL549	Fungi	31.551	0.959	1.000
6723	Cherax destructor	Metazoa	31.556	0.963	0.988
407301	Karlodinium veneficum	Protists	31.572	1.000	1.000
218633	Cordyceps cicadae	Fungi	31.584	0.968	1.000
452589	Trichoderma atroviride IMI 206040	Fungi	31.596	0.961	0.998
1522189	Ceraceosorus guamensis	Fungi	31.608	0.970	0.988
38492	Sclerotium cepivorum	Fungi	31.616	0.969	1.000
1340429	Rhizopus microsporus ATCC 52813	Fungi	31.628	0.950	0.997
1442370	Cladophialophora bantiana CBS 173.52	Fungi	31.638	0.979	0.998
1391700	Moesziomyces aphidis DSM 70725	Fungi	31.642	0.960	0.994
45847	Cordyceps tenuipes	Fungi	31.692	0.975	0.998
150372	Escovopsis	Fungi	31.698	0.969	0.993
107426	Sclerotinia glacialis	Fungi	31.710	0.978	0.998
708197	Colletotrichum tofieldiae	Fungi	31.710	0.968	0.996
5758	Entamoeba	Protists	31.714	1.000	1.000
40296	Penicillium italicum	Fungi	31.726	0.964	1.000
5272	Microbotryum violaceum	Fungi	31.775	0.948	0.998
2010996	Calephelis nemesis	Metazoa	31.782	0.970	0.997
33457	Neruda aoede	Metazoa	31.784	0.977	1.000
207832	Heterobasidion parviporum	Fungi	31.791	0.940	0.998
29196	Acanthamoeba lenticulata	Protists	31.794	1.000	1.000
7650	Hemicentrotus pulcherrimus	Metazoa	31.795	0.963	0.996
2034146	unclassified Chlamydomonas	Plants	31.803	0.980	1.000
41880	Pycnococcus provasolii	Plants	31.806	1.000	1.000
72766	Formica	Metazoa	31.811	0.959	0.994
13347	Armadillidium vulgare	Metazoa	31.825	0.963	0.988
74410	Bipolaris cookei	Fungi	31.834	0.962	1.000
72702	Pomacea	Metazoa	31.836	0.957	1.000
1344963	Mucorineae	Fungi	31.845	1.000	1.000
37653	Octopus bimaculoides	Metazoa	31.845	0.967	0.996
655827	Metarhizium acridum CQMa 102	Fungi	31.851	0.970	1.000
7245	Drosophila yakuba	Metazoa	31.871	0.975	1.000
596104	Phytophthora multivora	Protists	31.883	0.951	0.993
357750	Cercospora berteroae	Fungi	31.890	0.958	0.996
1573173	Colletotrichum incanum	Fungi	31.892	0.975	0.998
7282	Drosophila obscura	Metazoa	31.906	0.966	1.000
2483409	Nothophytophthora sp. Chile5	Protists	31.906	1.000	1.000
1093141	Nannochloropsis gaditana CCMP526	Protists	31.913	0.988	1.000
42251	Tuber borchii	Fungi	31.944	0.969	0.998
1930190	Suillus alpinus	Fungi	31.966	0.957	0.997
56418	Lipomyces arxii	Fungi	31.996	0.959	0.995
704171	Mesodinium rubrum	Protists	32.000	0.875	0.833
1245748	Aspergillus turcosus	Fungi	32.006	0.954	1.000
1618205	Sphaeroforma sirkka	Protists	32.055	0.970	0.985
29893	Auricularia polytricha	Fungi	32.062	0.961	1.000
861053	Hymenopellis chiangmaiae	Fungi	32.094	0.951	0.991
120023	Phytophthora melonis	Protists	32.116	0.966	1.000
930090	Bipolaris oryzae ATCC 44560	Fungi	32.146	0.970	0.998
1365887	Zygosaccharomyces pseudobailii	Fungi	32.153	0.937	0.997
1563115	Symbiodinium sp. clade A Y106	Protists	32.158	1.000	1.000
526923	Melampsora aecidioides	Fungi	32.167	0.986	0.992
398673	Trichoderma gamsii	Fungi	32.190	0.981	1.000
675824	Lipomyces starkeyi NRRL Y-11557	Fungi	32.208	0.956	0.998
438356	Cercospora sojina	Fungi	32.236	0.955	1.000
1524831	Pseudogymnoascus sp. 23342-1-I1	Fungi	32.236	0.952	1.000
2606521	unclassified Aspergillus	Fungi	32.239	0.972	0.990
94208	Tolypocladium paradoxum	Fungi	32.244	0.960	1.000
280463	Emiliania huxleyi CCMP1516	Protists	32.268	0.893	0.977
625136	Solenopsis fugax	Metazoa	32.276	0.972	1.000
1437871	Venturia pyrina ICMP 11032	Fungi	32.322	0.971	0.996
5911	Tetrahymena thermophila	Protists	32.333	0.952	1.000
516756	Eufriesea mexicana	Metazoa	32.361	0.974	0.994
230439	Peronospora tabacina	Protists	32.362	0.995	1.000
111670	Cladonia rangiferina	Fungi	32.363	0.974	1.000
38269	Gloeochaete wittrockiana	Protists	32.376	1.000	1.000
96803	Armadillidium nasatum	Metazoa	32.400	0.956	0.992
1507135	Euglossa dilemma	Metazoa	32.426	0.978	1.000
75169	Andricus grossulariae	Metazoa	32.437	0.968	1.000
907340	Cyberlindnera saturnus	Fungi	32.444	0.972	0.998
13632	Lucilia sericata	Metazoa	32.466	0.976	0.997
1571157	Coniochaeta sp. 2T2.1	Fungi	32.467	1.000	1.000
40145	Tricholoma matsutake	Fungi	32.471	0.968	0.997
2302820	Andricus quercuslanigera	Metazoa	32.474	0.967	0.990
5486	Candida viswanathii	Fungi	32.487	1.000	1.000
199937	Andricus quercusramuli	Metazoa	32.500	1.000	1.000
392227	Palaemon carinicauda	Metazoa	32.500	1.000	1.000
1266744	Talaromyces purpureogenus	Fungi	32.506	0.973	1.000
370354	Entamoeba dispar SAW760	Protists	32.510	0.979	1.000
1163406	Tolypocladium ophioglossoides CBS 100239	Fungi	32.531	0.958	1.000
2011161	Plectus sambesii	Metazoa	32.540	1.000	1.000
742174	Melanaphis sacchari	Metazoa	32.543	0.978	1.000
1742608	Codosiga hollandica	Protists	32.551	1.000	1.000
400756	Durinskia baltica	Protists	32.582	1.000	1.000
54757	Plasmodium vinckei vinckei	Protists	32.585	0.985	1.000
2010997	Calephelis virginiensis	Metazoa	32.585	0.968	0.997
479095	Yarrowia divulgata	Fungi	32.586	0.966	0.998
4953	Zygosaccharomyces	Fungi	32.586	0.939	0.998
143948	Diuraphis noxia	Metazoa	32.599	0.989	1.000
265563	Odontella aurita	Protists	32.624	1.000	1.000
6162	Girardia tigrina	Metazoa	32.636	1.000	1.000
693967	Pentalonia nigronervosa	Metazoa	32.639	0.966	0.997
716546	leotiomyceta	Fungi	32.667	1.000	1.000
387005	Onchocerca flexuosa	Metazoa	32.679	0.959	0.995
4951	Yarrowia	Fungi	32.710	0.957	1.000
1323836	Cryomyces antarcticus CCFEE 534	Fungi	32.721	0.973	1.000
4783	Phytophthora	Protists	32.746	0.951	0.997
36048	Tuber	Fungi	32.755	1.000	1.000
7446	Vespa mandarinia	Metazoa	32.762	0.978	0.997
174080	Cladonia uncialis	Fungi	32.769	0.979	1.000
5194	Morchella conica	Fungi	32.777	0.963	1.000
1450535	Aspergillus sclerotioniger CBS 115572	Fungi	32.786	0.980	1.000
5823	Plasmodium berghei ANKA	Protists	32.789	0.947	0.980
1160497	Aspergillus glaucus CBS 516.65	Fungi	32.801	0.961	1.000
48147	Protomyces macrosporus	Fungi	32.804	0.968	0.996
32389	Pteromalus puparum	Metazoa	32.808	0.970	0.997
27405	Penaeus japonicus	Metazoa	32.818	1.000	1.000
938130	Platyophrya macrostoma	Protists	32.854	1.000	1.000
28983	Sclerotiniaceae	Fungi	32.857	0.970	1.000
200604	Tintinnida	Protists	32.889	0.889	1.000
6997	Acheta domesticus	Metazoa	32.897	0.985	0.984
7375	Lucilia cuprina	Metazoa	32.898	0.984	0.992
244254	Drosophila bunnanda	Metazoa	32.905	0.973	1.000
1658174	Blastomyces percursus	Fungi	32.911	0.960	0.998
137078	Drosophila truncata	Metazoa	32.964	0.969	1.000
242475	Melampsora allii-populina	Fungi	32.966	0.957	0.989
6281	Onchocerca	Metazoa	32.980	0.949	1.000
6238	Caenorhabditis briggsae	Metazoa	32.989	0.967	0.988
160265	Thalassiosira antarctica	Protists	33.028	1.000	1.000
348688	Protaetia brevitarsis	Metazoa	33.031	1.000	1.000
38817	Gephyrocapsa oceanica	Protists	33.065	0.982	0.993
871575	Ogataea parapolymorpha DL-1	Fungi	33.099	0.978	1.000
5694	Trypanosoma equiperdum	Protists	33.100	0.950	1.000
490622	Trichoderma arundinaceum	Fungi	33.117	0.975	1.000
2617889	unclassified Moesziomyces	Fungi	33.120	0.974	1.000
2060905	Blastomyces parvus	Fungi	33.124	0.974	1.000
81844	Mantoniella antarctica	Plants	33.131	0.996	1.000
907738	Cyberlindnera suaveolens	Fungi	33.133	0.984	0.998
254849	Halocynthia aurantium	Metazoa	33.141	0.983	0.996
36044	Erysiphe pisi	Fungi	33.147	0.974	1.000
2650976	Scenedesmus sp. NREL 46B-D3	Plants	33.150	0.997	1.000
135651	Caenorhabditis brenneri	Metazoa	33.170	1.000	1.000
1608523	Yarrowia deformans	Fungi	33.186	0.962	1.000
1195655	Pristionchus arcanus	Metazoa	33.188	0.974	1.000
7218	Drosophila bifasciata	Metazoa	33.202	0.979	1.000
44539	leucosphyrus subgroup	Metazoa	33.214	0.929	1.000
337941	Trichoderma koningiopsis	Fungi	33.231	0.970	1.000
1159321	Belonocnema treatae	Metazoa	33.244	0.968	1.000
110618	Nectriaceae	Fungi	33.249	0.959	1.000
36015	Pichia kluyveri	Fungi	33.311	1.000	1.000
82926	Globisporangium splendens	Protists	33.316	0.989	1.000
79923	Clonorchis sinensis	Metazoa	33.322	0.976	1.000
985145	Zymoseptoria ardabiliae STIR04_1.1.2	Fungi	33.324	0.973	1.000
215460	Lachnellula occidentalis	Fungi	33.333	0.975	1.000
1316194	Penicillium subrubescens	Fungi	33.336	0.973	0.998
76194	Papilio polytes	Metazoa	33.349	0.975	1.000
2496131	Aurelia aurita complex sp. Pacific	Metazoa	33.362	0.949	0.994
27345	Puccinia hordei	Fungi	33.382	0.998	1.000
909773	Cecidostiba semifascia	Metazoa	33.402	0.951	1.000
1388766	Aspergillus ruber CBS 135680	Fungi	33.403	0.979	1.000
460523	Ogataea polymorpha	Fungi	33.418	0.977	1.000
37318	Pseudo-nitzschia pungens	Protists	33.420	1.000	1.000
97359	Auriculariopsis ampla	Fungi	33.421	1.000	1.000
3086	Scenedesmaceae	Plants	33.444	0.833	0.933
44680	Magicicada septendecula	Metazoa	33.444	1.000	1.000
6279	Brugia malayi	Metazoa	33.448	0.944	0.995
190327	Diphylleia rotans	Protists	33.459	1.000	1.000
27333	Protomyces inundatus	Fungi	33.459	0.990	1.000
374178	Meyerozyma carpophila	Fungi	33.465	0.972	0.996
66527	Balamuthia mandrillaris	Protists	33.472	1.000	1.000
767769	Aspergillus brasiliensis CBS 101740	Fungi	33.474	0.958	1.000
143451	Plasmopara viticola	Protists	33.478	0.984	1.000
1857775	Brachionus asplanchnoidis	Metazoa	33.478	0.960	0.991
797374	Cecidostiba fungosa	Metazoa	33.482	0.978	1.000
247546	Trichoderma brevicompactum	Fungi	33.488	0.981	1.000
77708	Lepidurus arcticus	Metazoa	33.488	0.962	0.995
154572	Symbiodinium microadriaticum subsp. microadriaticum	Protists	33.500	1.000	1.000
2028340	Meyerozyma sp. JA9	Fungi	33.535	0.989	1.000
211096	Hanseniaspora opuntiae	Fungi	33.545	0.985	1.000
172717	Triparma eleuthera	Protists	33.551	1.000	1.000
39714	Euglypha rotunda	Protists	33.556	1.000	1.000
2175976	Lactarius sp. MG121	Fungi	33.584	0.971	0.998
47911	Entodinium caudatum	Protists	33.621	1.000	1.000
1357681	Conidiobolus incongruus B7586	Fungi	33.645	1.000	1.000
61395	Linderina pennispora	Fungi	33.651	1.000	1.000
1609947	Falciphora oryzae	Fungi	33.653	0.952	0.994
278856	Danaus plexippus plexippus	Metazoa	33.658	0.964	1.000
38448	Monilinia fructicola	Fungi	33.675	0.976	0.997
45235	Tolypocladium capitatum	Fungi	33.676	0.968	1.000
420259	Thalassiosira gravida	Protists	33.689	0.967	0.981
59818	Tyrophagus putrescentiae	Metazoa	33.709	0.944	1.000
1196443	Plasmopara muralis	Protists	33.711	0.983	1.000
89957	Polarella glacialis	Protists	33.716	1.000	1.000
120202	Daphnia carinata	Metazoa	33.719	0.972	1.000
54126	Pristionchus pacificus	Metazoa	33.727	0.969	0.990
217954	Lepidurus apus lubbocki	Metazoa	33.749	0.976	0.997
73915	Pyrodinium bahamense	Protists	33.756	1.000	1.000
51582	Atkinsonella texensis	Fungi	33.764	0.980	1.000
470018	Rachicladosporium	Fungi	33.768	0.964	1.000
4762	Oomycetes	Protists	33.774	0.962	1.000
147828	Opisthorchis felineus	Metazoa	33.800	0.960	0.994
93969	Cryptosporidium meleagridis	Protists	33.800	0.980	1.000
265554	Amphora coffeiformis	Protists	33.806	1.000	1.000
1852163	Spathaspora gorwiae	Fungi	33.816	0.976	1.000
1036612	Aspergillus sydowii CBS 593.65	Fungi	33.831	0.980	1.000
2562445	Aspergillus aff. floccosus IMV 01167	Fungi	33.842	0.978	1.000
1639000	Cryptococcus sp. JCM 24511	Fungi	33.850	0.967	0.996
1243767	Hypoxylon pulicicidum	Fungi	33.865	0.977	1.000
65661	Acanthamoeba healyi	Protists	33.868	0.984	1.000
41687	Scedosporium	Fungi	33.872	0.975	1.000
75913	Strongyloides venezuelensis	Metazoa	33.903	0.986	1.000
1427494	fungal sp. ARF18	Fungi	33.909	1.000	1.000
7729	Halocynthia roretzi	Metazoa	33.921	0.974	1.000
1036611	Aspergillus versicolor CBS 583.65	Fungi	33.926	0.977	1.000
1170230	Penicillium digitatum Pd1	Fungi	33.944	0.974	1.000
71861	Scrippsiella trochoidea	Protists	33.967	1.000	1.000
1231522	[Candida] duobushaemulonis	Fungi	33.973	0.981	0.995
2787	Porphyra purpurea	Protists	33.977	1.000	1.000
47790	Tetrabaena socialis	Plants	33.982	1.000	1.000
715340	Pleosporineae	Fungi	34.000	0.800	1.000
1938905	Gaeumannomyces sp. JS-464	Fungi	34.012	0.974	1.000
1635100	Yarrowia sp. JCM 30696	Fungi	34.038	0.977	1.000
1305733	Rhodotorula sp. JG-1b	Fungi	34.070	0.961	1.000
76198	Papilio memnon	Metazoa	34.070	0.980	0.996
1580835	Davidsoniella eucalypti	Fungi	34.072	0.977	0.998
1049557	Thalassiothrix antarctica	Protists	34.074	1.000	1.000
51221	Tricholoma bakamatsutake	Fungi	34.088	0.967	0.997
429562	Pythium guiyangense	Protists	34.089	0.994	1.000
602072	Aspergillus carbonarius ITEM 5010	Fungi	34.094	0.972	1.000
645134	Spizellomyces punctatus DAOM BR117	Fungi	34.112	0.965	1.000
1489628	Hypoxylon sp. E7406B	Fungi	34.115	0.968	1.000
6313	Angiostrongylus cantonensis	Metazoa	34.116	0.964	0.996
7274	Drosophila serrata	Metazoa	34.117	0.986	1.000
482145	Aspergillus taichungensis	Fungi	34.117	0.975	1.000
49265	Thalassiosira rotula	Protists	34.118	0.974	1.000
1448318	Aspergillus sclerotiicarbonarius CBS 121057	Fungi	34.161	0.980	1.000
125945	Drosophila biarmipes	Metazoa	34.169	0.975	1.000
1461544	Chloropicon roscoffensis	Plants	34.173	1.000	1.000
1254522	Phytophthora lateralis MPF4	Protists	34.178	0.962	0.995
75126	Marisa cornuarietis	Metazoa	34.183	0.979	1.000
2492660	Rhabditida sp. S2_005_001R2	Metazoa	34.200	1.000	1.000
334426	Angiostrongylus costaricensis	Metazoa	34.218	0.969	1.000
135208	Hericium alpestre	Fungi	34.223	0.980	0.997
58853	Trichoderma citrinoviride	Fungi	34.244	0.973	0.998
165858	Danaus melanippus	Metazoa	34.256	0.968	1.000
6689	Penaeus vannamei	Metazoa	34.258	0.988	1.000
3047	Dunaliella tertiolecta	Plants	34.262	0.997	1.000
946125	Diplocarpon rosae	Fungi	34.262	0.996	1.000
13686	Solenopsis invicta	Metazoa	34.270	0.967	0.994
117820	Spizellomyces sp. 'palustris'	Fungi	34.273	0.981	1.000
202533	Stegodyphus dumicola	Metazoa	34.298	0.992	0.996
6183	Schistosoma mansoni	Metazoa	34.307	0.968	0.996
1095629	Laccaria amethystina LaAM-08-1	Fungi	34.329	0.978	1.000
7668	Strongylocentrotus purpuratus	Metazoa	34.336	0.983	0.994
1611254	Caenorhabditis nigoni	Metazoa	34.346	0.979	0.997
74869	Anopheles maculatus	Metazoa	34.347	0.992	1.000
405846	Teratosphaeria gauchensis	Fungi	34.360	0.986	1.000
6198	Opisthorchis viverrini	Metazoa	34.375	0.969	1.000
29845	Penicillium vulpinum	Fungi	34.391	0.978	1.000
2801	Rhodella violacea	Protists	34.405	1.000	1.000
5379	Suillus	Fungi	34.420	0.970	1.000
7385	Sarcophaga bullata	Metazoa	34.421	0.991	1.000
104688	Bactrocera oleae	Metazoa	34.422	0.959	1.000
1420906	Pseudogymnoascus sp. VKM F-4281 (FW-2241)	Fungi	34.430	0.978	1.000
2020292	Monoraphidium sp. 549	Plants	34.432	0.952	0.996
979145	Neonectria punicea	Fungi	34.435	0.966	1.000
351381	Neuroterus quercusbaccarum	Metazoa	34.442	1.000	1.000
645133	Colletotrichum graminicola M1.001	Fungi	34.445	0.979	1.000
4785	Phytophthora cinnamomi	Protists	34.459	0.947	1.000
5533	Rhodotorula	Fungi	34.477	0.967	0.990
695850	Saprolegnia parasitica CBS 223.65	Protists	34.491	0.982	1.000
403063	Pyricularia sp. CBS 133598	Fungi	34.513	0.979	1.000
1213352	[Candida] ethanolica M2	Fungi	34.519	1.000	1.000
418784	[Candida] pseudohaemulonis	Fungi	34.548	0.980	1.000
191418	Maniola jurtina	Metazoa	34.559	0.989	1.000
303698	Penicillium steckii	Fungi	34.559	0.957	1.000
359927	Drosophila pectinifera	Metazoa	34.568	0.971	1.000
1237626	Plasmodium inui San Antonio 1	Protists	34.578	0.969	1.000
51284	Hymenoscyphus fructigenus	Fungi	34.589	0.990	1.000
466936	Russula griseocarnosa	Fungi	34.594	0.987	1.000
46948	Rhodomonas abbreviata	Protists	34.598	1.000	1.000
1890683	Saitozyma podzolica	Fungi	34.637	0.986	0.996
183478	Stemphylium lycopersici	Fungi	34.638	0.972	1.000
160621	Lingulodinium polyedra	Protists	34.651	1.000	1.000
36751	Glomeraceae	Fungi	34.654	0.988	1.000
279509	Boletus subvelutipes	Fungi	34.676	0.964	1.000
227321	Aspergillus nidulans FGSC A4	Fungi	34.682	0.985	1.000
1735279	Hymenoscyphus salicellus	Fungi	34.685	0.972	1.000
65659	Acanthamoeba comandoni	Protists	34.696	0.990	1.000
44412	Fusarium beomiforme	Fungi	34.704	0.967	1.000
119933	Stemphylium vesicarium	Fungi	34.717	0.984	1.000
2590007	Ostreococcus sp. SAG12	Plants	34.806	0.917	1.000
1195656	Pristionchus exspectatus	Metazoa	34.806	0.969	0.995
91752	Hericium erinaceus	Fungi	34.817	0.980	1.000
27349	Puccinia sorghi	Fungi	34.819	0.973	1.000
1580837	Davidsoniella virescens	Fungi	34.841	0.990	1.000
7386	Sarcophaga peregrina	Metazoa	34.849	0.986	1.000
265543	Minutocellus polymorphus	Protists	34.851	0.994	1.000
5078	Penicillium griseofulvum	Fungi	34.852	0.970	1.000
78402	Neonectria hederae	Fungi	34.853	0.971	1.000
658931	Teratosphaeria zuluensis	Fungi	34.870	0.989	1.000
771870	Sordaria macrospora k-hell	Fungi	34.875	0.966	0.998
1173701	Colletotrichum sublineola	Fungi	34.876	0.977	1.000
35525	Daphnia magna	Metazoa	34.895	0.987	1.000
148305	Pyricularia grisea	Fungi	34.899	0.979	1.000
1810908	Aspergillus spinulosporus	Fungi	34.909	0.976	1.000
300110	Temnothorax	Metazoa	34.917	0.983	1.000
267565	Skeletonema grethae	Protists	34.918	0.970	1.000
904239	Lactifluus pinguis	Fungi	34.921	0.972	1.000
164328	Phytophthora ramorum	Protists	34.938	0.979	1.000
36927	Nilaparvata lugens yeast-like symbiont	Fungi	34.955	0.971	1.000
133412	Smittium culicis	Fungi	34.962	1.000	1.000
1578925	Pyricularia pennisetigena	Fungi	34.987	0.977	0.998
133427	Protoceratium reticulatum	Protists	35.015	0.992	1.000
1405085	Balansia obtecta B249	Fungi	35.025	0.992	1.000
73025	Eutreptiella gymnastica	Protists	35.031	1.000	1.000
