# Summary: 
# | Name | No results | One result, correct genus | Many results, correct genus | One result, incorrect genus | Many results, incorrect genus | Signal detected | Detected signal is one species |
# | -- | -- | -- | -- | -- | -- | -- | -- |
# | No filter | 58 | 16 | 68 | 22 | 174 | 0.828 | 0.136 |
# | m2 | 105 | 43 | 92 | 16 | 82 | 0.689 | 0.253 |
# | M30 | 186 | 68 | 51 | 15 | 18 | 0.45 | 0.546 |
# | r4 | 131 | 50 | 83 | 15 | 59 | 0.612 | 0.314 |
# | m2M30 | 211 | 61 | 43 | 14 | 9 | 0.376 | 0.591 |
# | m2r4 | 132 | 50 | 83 | 15 | 58 | 0.609 | 0.316 |
# | r4M30 | 219 | 59 | 40 | 16 | 4 | 0.352 | 0.63 |
# | m2r4M30 | 221 | 59 | 39 | 15 | 4 | 0.346 | 0.632 |
# | EukDetect | 221 | 80 | 18 | 15 | 4 | 0.346 | 0.812 |
# | modified EukDetect (MAPQ>=5) | 179 | 77 | 41 | 19 | 22 | 0.47 | 0.604 |
# | our method | 133 | 107 | 29 | 57 | 12 | 0.607 | 0.8 |
# Values legend: 
# NR: No results
# OC: One result, correct genus
# MC: Many results, correct genus
# OI: One result, incorrect genus
# MI: Many results, incorrect genus
#
species	No filter	m2	M30	r4	m2M30	m2r4	r4M30	m2r4M30	EukDetect	modified EukDetect (MAPQ>=5)	our method
613905|Nylanderia fulva	MI	MI	NR	MI	NR	MI	NR	NR	NR	OI	MI
637853|Gongylonema pulchrum	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
644358|Magnaporthiopsis poae ATCC 64411	MI	MI	MI	MI	OC	MI	OC	OC	OC	OC	OC
652834|Palpitomonas bilix	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
658473|Mycena chlorophos	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
663331|Trichophyton benhamiae CBS 112371	MI	MC	MC	MI	MC	MC	MC	MC	MC	OC	OC
665024|Bipolaris maydis ATCC 48331	MI	MC	MC	MC	MC	MC	OC	OC	OC	MC	OC
684364|Batrachochytrium dendrobatidis JAM81	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
690910|Lymantria dispar dispar	MI	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR
691171|Tuber umbilicatum	MC	MC	NR	MC	NR	MC	NR	NR	NR	MC	OC
693967|Pentalonia nigronervosa	MI	MI	OI	MI	OI	MI	NR	NR	NR	MI	OI
708627|Timspurckia oligopyrenoides	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
714620|Torymus auratus	MI	MI	OC	OC	OC	OC	OC	OC	OC	OC	MI
765257|Pisolithus microcarpus 441	MI	OC	OC	OC	OC	OC	NR	NR	NR	OC	OC
766055|Microcyclospora pomicola	MI	OC	NR	OC	NR	OC	NR	NR	NR	OC	OC
797268|Paecilomyces hepiali	MI	MI	MI	MI	OI	MI	OI	OI	OI	OI	OI
877506|Claviceps paspali RRC 1481	MI	MI	NR	MI	NR	MI	NR	NR	NR	NR	MI
904239|Lactifluus pinguis	MI	MI	OI	MI	OI	MI	OI	OI	OI	OI	OI
904709|Chaetomium cochliodes	MI	MI	OC	MI	OC	MI	OC	OC	OC	OC	OC
907947|Phytopythium vexans	MI	MI	NR	OI	NR	OI	NR	NR	NR	NR	OI
909788|Ormyrus pomaceus	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
933084|Jaapia argillacea MUCL 33604	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
985143|Zymoseptoria pseudotritici STIR04_4.3.1	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	OC
1003142|Triceratium dubium	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1016881|Ascocoryne sarcoides NRRL 50072	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1031333|Rhizomucor miehei CAU432	MI	OC	OC	OC	NR	OC	NR	NR	NR	NR	OC
1036762|Epichloe brachyelytri E4804	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC
1042828|Stygamoeba regulata	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1049056|Panopea generosa	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1073089|Aspergillus wentii DTO 134E9	MI	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR
1086592|Cataglyphis hispanica	MI	MI	OC	MI	OC	MI	OC	OC	OC	MI	OC
1116229|Glarea lozoyensis ATCC 20868	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1130832|Rhodotorula toruloides NP11	MI	MC	NR	MC	NR	MC	NR	NR	NR	NR	OC
1133968|Babesia microti strain RI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1136866|Hysterium pulicare CBS 123377	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1138374|Nematocida sp. 1 ERTm6	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1147111|Fusarium euwallaceae	MC	MC	MC	MC	MC	MC	MC	MC	OC	MC	MC
1160497|Aspergillus glaucus CBS 516.65	MI	MC	MC	MC	MC	MC	MC	MC	MC	MC	OC
1174670|Fusarium azukicola	MI	MC	MC	MC	OC	MC	MC	OC	OC	OC	MC
1182544|Cladophialophora yegresii CBS 114405	MI	MI	OC	MI	OC	MI	NR	NR	NR	OC	OC
1186058|Trichosporon asahii var. asahii CBS 2479	MI	MC	MC	MC	OC	MC	OC	OC	OC	MC	OC
1194294|Hartaetosiga balthica	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1196081|Talaromyces amestolkiae	MI	MI	OC	MI	NR	MI	NR	NR	NR	NR	OI
1218281|Limnephilus lunatus	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1223556|Pythium arrhenomanes ATCC 12531	MI	MC	NR	NR	NR	NR	NR	NR	NR	NR	NR
1227346|Fusarium proliferatum ET1	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC
1230383|Malassezia sympodialis ATCC 42132	MC	MC	OC	OC	NR	OC	NR	NR	NR	OC	OC
1246795|Nutomonas longa	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1250544|Sphaerosporella brunnea	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1266684|Ophiothrix spiculata	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1266744|Talaromyces purpureogenus	MI	MI	MI	MI	MI	MI	NR	NR	NR	MI	OI
1274791|Apophysomyces elegans B7760	MC	MC	MC	MC	MC	MC	MC	MC	OC	OC	OC
1279116|Nakaseomyces bacillisporus CBS 7720	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1303197|Leishmania sp. MAR LEM2494	MC	OC	NR	OC	NR	OC	NR	NR	NR	NR	NR
1314790|Basidiobolus meristosporus CBS 931.73	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1316194|Penicillium subrubescens	MI	MC	OC	MC	OC	MC	NR	NR	NR	MC	OC
1323128|Limacina bulimoides	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1332765|Glaciozyma antarctica PI12	MI	MI	NR	OI	NR	OI	NR	NR	NR	NR	OI
1347389|Colletotrichum sidae	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC
1353255|Gyalolechia flavorubescens KoLRI002931	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1390368|Takashimella koratensis	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1439351|Penicillium carneum LCP05634	MC	MC	MC	MC	MC	MC	MC	MC	OC	OC	OC
1442369|Rhinocladiella mackenziei CBS 650.93	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1447872|Emergomyces pasteurianus Ep9510	MI	MI	OC	MI	NR	MI	NR	NR	NR	MI	OI
1447875|Helicocarpus griseus UAMH5409	MI	MI	NR	MI	NR	MI	NR	NR	NR	NR	OI
1448308|Corynespora cassiicola Philippines	MI	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR
1448321|Aspergillus heteromorphus CBS 117.55	MI	MC	NR	MC	NR	MC	NR	NR	NR	OC	OC
1450535|Aspergillus sclerotioniger CBS 115572	MI	MC	OC	MC	OC	MC	OC	OC	OC	MC	OC
1457509|Amanita brunnescens Koide BX004	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1503927|Hemistasia phaeocysticola	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1507135|Euglossa dilemma	MI	MI	OI	MI	OI	MI	OI	OI	OI	OI	OI
1509407|Aspergillus nomius NRRL 13137	MC	MC	MC	MC	OC	MC	OC	OC	OC	OC	OC
1540335|Yarrowia porcina	MC	MC	NR	MC	NR	MC	NR	NR	NR	NR	OC
1573607|Schizochytrium sp. CCTCC M209059	OI	OI	OI	OI	OI	OI	OI	OI	OI	OI	OI
1578925|Pyricularia pennisetigena	MI	MI	MC	MI	OC	MI	NR	NR	NR	MI	OC
1580837|Davidsoniella virescens	MI	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
1585795|Colletotrichum lentis	MC	MC	MC	MC	MC	MC	OC	OC	OC	MC	OC
1604332|Fusarium pininemorale	MC	MC	MC	MC	MC	MC	MC	MC	OC	MC	MC
1608916|Laparus doris doris	MI	MI	NR	MI	NR	MI	NR	NR	NR	OI	OI
1635098|Yarrowia keelungensis	MC	MC	MC	MC	MC	MC	MC	MC	OC	OC	OC
1667614|Cyberlindnera xylosilytica	MI	MC	NR	NR	NR	NR	NR	NR	NR	NR	NR
1671306|Pseudophaeomoniella oleicola	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1673888|Violaceomyces palustris	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1701548|Spathaspora boniae	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1736112|Platysulcus tardus	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1745343|Pezoloma ericae	MI	MI	NR	MI	NR	MI	NR	NR	NR	NR	MI
1775427|Amoebophrya sp. AT5.2	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1810908|Aspergillus spinulosporus	MC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
1813822|fungal sp. No.14919	MI	MI	OI	MI	OI	MI	OI	OI	OI	OI	OI
1858805|Dacryopinax primogenitus	OI	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR
1882922|Taenaris catops	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1907219|Piptocephalis cylindrospora	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1928486|Mylnosiga fluctuans	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1965070|Dinothrombium tinctorium	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1977532|Sericostoma sp. HW-2014	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1986089|Cyanodermella asteris	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
1993908|Parvularia atlantis	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
2010997|Calephelis virginiensis	MI	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
2021029|Didymella segeticola	MI	MI	NR	MI	NR	MI	NR	NR	NR	NR	OI
2027527|Escovopsis sp. Ae720	MC	MC	OC	MC	NR	MC	NR	NR	NR	NR	MC
2036197|Raffaelea sp. RL272	MI	MI	NR	MI	NR	MI	NR	NR	NR	OC	OI
2039271|Pseudozyma sp. F8B2	MI	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
2041167|Chlorella sp. A99	MI	OC	NR	NR	NR	NR	NR	NR	NR	NR	NR
2056393|Chloroidium sp. JM	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
2056398|Dunaliella sp. YS1	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
2056399|Haematococcus sp. NG2	MI	MI	NR	MI	NR	MI	NR	NR	NR	OI	OI
2172886|Aurantiochytrium acetophilum	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
2184023|Aspergillus olivimuriae	MI	MI	NR	OC	NR	OC	NR	NR	NR	NR	OC
2259054|Metschnikowia citriensis	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC
2283846|Lachnum nothofagi	MI	OI	NR	NR	NR	NR	NR	NR	NR	NR	OI
2292721|Alatinidae sp. Z8VKAUB7J3	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
2509265|Prototheca bovis	MI	MC	NR	OC	NR	OC	NR	NR	NR	NR	OC
2562755|Metschnikowia sp. JCM 33374	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
2590006|Ostreococcus sp. SAG11	OC	NR	OC	OC	NR	NR	OC	NR	NR	NR	NR
2601844|Picochlorum sp. BH-2019	MI	MI	MI	MI	MI	MI	MI	MI	MI	MI	MI
2605667|Achatina immaculata	OI	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR
