3104061	G78570	237561|Candida_albicans_SC5314	17
3104064	G80410	944160|Blastocystis_sp_subtype_2	18
3104065	G80357	93969|Cryptosporidium_meleagridis	5
3104065	G80357	944160|Blastocystis_sp_subtype_2	21
3104106	G69216	76775|Malassezia_restricta	2
3104130	G69234	425265|Malassezia_globosa_CBS_7966	2
3104202	G78635	425265|Malassezia_globosa_CBS_7966	2
3104207	G78637	237561|Candida_albicans_SC5314	3
3104249	G78861	76775|Malassezia_restricta	2
3104268	G80295	559292|Saccharomyces_cerevisiae_S288C	2
3104280	G80327	2028340|Meyerozyma_sp_JA9	6
3104303	G80389	76775|Malassezia_restricta	2
3104320	G78492	559292|Saccharomyces_cerevisiae_S288C	2
3104322	G78500	559292|Saccharomyces_cerevisiae_S288C	9
3104323	G86980	2028340|Meyerozyma_sp_JA9	29
3104323	G86980	559292|Saccharomyces_cerevisiae_S288C	29
3104324	G69146	2028340|Meyerozyma_sp_JA9	18
3104324	G69146	294746|Meyerozyma_guilliermondii_ATCC_6260	4
3104324	G69146	559292|Saccharomyces_cerevisiae_S288C	8
3104324	G69146	76775|Malassezia_restricta	2
3104326	G78505	2028340|Meyerozyma_sp_JA9	3
3104326	G78505	559292|Saccharomyces_cerevisiae_S288C	4
3104340	G80329	237561|Candida_albicans_SC5314	8
3104340	G80329	306901|Chaetomium_globosum_CBS_14851	3
3104340	G80329	5480|Candida_parapsilosis	19
3104340	G80329	5533|Rhodotorula	3
3105185	G69295	29833|Hanseniaspora_uvarum	19
3105185	G69295	306902|Clavispora_lusitaniae_ATCC_42720	2
3105185	G69295	5480|Candida_parapsilosis	13
3105808	G80077	76775|Malassezia_restricta	4
3105841	G79065	76775|Malassezia_restricta	2
3105875	G45266	559292|Saccharomyces_cerevisiae_S288C	6
3106190	G80560	1367537|Mycosphaerella_populi_pn0402	2
3107527	G45108	559292|Saccharomyces_cerevisiae_S288C	3
3107667	G80164	76775|Malassezia_restricta	3
3107802	G80132	559292|Saccharomyces_cerevisiae_S288C	2
3107873	G80084	559292|Saccharomyces_cerevisiae_S288C	3
3107883	G45090	5480|Candida_parapsilosis	5
3108105	G45096	559292|Saccharomyces_cerevisiae_S288C	3
3108459	G79000	559292|Saccharomyces_cerevisiae_S288C	5
3108569	G78720	944160|Blastocystis_sp_subtype_2	14
3108572	G78719	944160|Blastocystis_sp_subtype_2	17
3108743	G80075	559292|Saccharomyces_cerevisiae_S288C	2
3108798	G78921	76775|Malassezia_restricta	5
3108919	G69287	76775|Malassezia_restricta	5
3108942	G69291	306902|Clavispora_lusitaniae_ATCC_42720	5
3108942	G69291	49331|Wickerhamiella_pararugosa	2
3108942	G69291	559292|Saccharomyces_cerevisiae_S288C	2
3109355	G69238	237561|Candida_albicans_SC5314	4
3109355	G69238	559292|Saccharomyces_cerevisiae_S288C	2
3109414	G78530	36025|Nakazawaea_holstii	2
3109551	G80267	237561|Candida_albicans_SC5314	5
3109646	G80275	983966|Cyberlindnera_jadinii_NRRL_Y-1542	3
3109701	G69154	559292|Saccharomyces_cerevisiae_S288C	2
3109711	G78518	306902|Clavispora_lusitaniae_ATCC_42720	8
3109711	G78518	52247|Candida_inconspicua	26
3109711	G78518	559292|Saccharomyces_cerevisiae_S288C	8
3109831	G78578	559292|Saccharomyces_cerevisiae_S288C	10
3109978	G78599	944160|Blastocystis_sp_subtype_2	16
3109997	G45258	559292|Saccharomyces_cerevisiae_S288C	5
3110090	G45237	478820|Blastocystis_sp_ATCC_50177-Nand_II	2
3110106	G80312	2153248|Aspergillus_sp_MA_6041	2
3110109	G78857	559292|Saccharomyces_cerevisiae_S288C	3
3110202	G78984	?944160|Blastocystis_sp_subtype_2	6
3112118	G45260	559292|Saccharomyces_cerevisiae_S288C	3
3112341	G80283	27294|Kazachstania_unispora	2
3112358	G45059	766728|Meyerozyma	3
3112360	G45061	559292|Saccharomyces_cerevisiae_S288C	4
3112487	G80144	559292|Saccharomyces_cerevisiae_S288C	4
3112518	G80314	559292|Saccharomyces_cerevisiae_S288C	8
3112810	G78608	?1200864|Metschnikowia_fructicola_277,1231522|Candida_duobushaemulonis,197672|Candida_hawaiiana,2259054|Metschnikowia_citriensis,418784|Candida_pseudohaemulonis,487108|Candida_heveicola	13
3112810	G78608	?246006|Suhomyces_emberorum,27323|Metschnikowia_hawaiiensis	7
3112810	G78608	284592|Debaryomyces_hansenii_CBS767	3
3112810	G78608	306902|Clavispora_lusitaniae_ATCC_42720	167
3112810	G78608	?36024|Ogataea_henricii,43982|Ambrosiozyma_monospora	5
3112810	G78608	559292|Saccharomyces_cerevisiae_S288C	2
3112866	G78605	559292|Saccharomyces_cerevisiae_S288C	29
3113030	G78823	559292|Saccharomyces_cerevisiae_S288C	2
3113278	G78922	559292|Saccharomyces_cerevisiae_S288C	4
3113884	G78932	5480|Candida_parapsilosis	2
3113930	G80165	237561|Candida_albicans_SC5314	2
3114356	G69165	559292|Saccharomyces_cerevisiae_S288C	5
3114427	G80148	559292|Saccharomyces_cerevisiae_S288C	40
3114775	G78521	559292|Saccharomyces_cerevisiae_S288C	5
3114844	G80073	559292|Saccharomyces_cerevisiae_S288C	2
3114956	G78656	76775|Malassezia_restricta	2
3115070	G45057	559292|Saccharomyces_cerevisiae_S288C	2
3115259	G69230	559292|Saccharomyces_cerevisiae_S288C	2
3115375	G80424	559292|Saccharomyces_cerevisiae_S288C	2
3115530	G80104	559292|Saccharomyces_cerevisiae_S288C	3
3115580	G78870	559292|Saccharomyces_cerevisiae_S288C	4
3115612	G78527	944160|Blastocystis_sp_subtype_2	21
3115702	G78490	559292|Saccharomyces_cerevisiae_S288C	3
3116164	G78494	944170|Blastocystis_sp_subtype_4	8
3116173	G80448	559292|Saccharomyces_cerevisiae_S288C	2
3116456	G45074	559292|Saccharomyces_cerevisiae_S288C	2
