3108596	G80124
3114327	G79049
3106237	G78999
3106384	G45069
3101140	G45078
3113118	G45117
3113114	G45118
3113627	G45119
3113111	G45120
3000110	G79041
3113069	G80162
3101279	G78966
3114230	G78967
3107293	G80513
3000144	G80490
3101046	G80538
3107294	G80537
3113022	G80322
3101193	G80541
3101190	G90147
3113030	G78823
3101199	G80455
3107391	G80482
3000139	G80498
3108770	G80387
3108761	G78579
3101298	G80527
3107547	G69237
3101295	G80621
3114356	G69165
3101244	G80533
3107506	G80133
3101062	G80123
3107507	G80097
3101063	G79035
3113100	G79055
3107505	G80143
3000106	G79042
3114386	G78969
3107508	G79006
3107510	G79005
3107526	G45104
3101336	G45105
3101338	G45106
3101335	G45107
3107527	G45108
3105620	G80580
3000095	G80506
3114523	G80149
3101408	G80139
3102537	G80163
3102538	G80115
3000085	G80141
3102539	G80109
3101412	G80118
3108736	G79062
3108737	G79063
3108733	G79060
3101410	G80086
3108738	G79061
3108734	G79064
3101436	G45231
3101439	G45265
3113065	G45267
3113068	G45268
3113996	G45269
3107651	G45270
3107649	G45271
3107471	G80548
3101475	G80554
3102544	G80475
3101478	G80561
3101454	G80102
3101457	G79043
3000058	G80082
3107802	G80132
3101455	G80094
3102569	G80074
3101453	G79044
3108758	G79020
3108752	G79019
3105663	G80108
3000064	G79040
3108798	G78921
3112091	G78952
3105612	G80574
3114796	G80331
3107840	G80469
3102582	G80483
3000044	G80522
3114799	G78826
3107837	G80477
3108516	G80332
3102577	G80092
3113323	G78923
3114844	G80073
3107873	G80084
3000054	G79039
3000052	G80514
3107815	G80485
3113179	G78580
3105808	G80077
3105812	G80085
3114794	G78958
3105811	G79070
3105810	G79067
3113278	G78922
3105790	G80562
3114826	G78827
3000007	G80137
3105841	G79065
3108837	G80146
3114741	G78957
3114860	G78972
3113346	G80159
3105828	G80119
3101014	G79037
3102687	G80078
3108875	G45099
3108874	G45100
3113669	G45101
3114784	G45102
3105829	G45103
3105747	G45088
3108098	G45089
3107883	G45090
3108107	G45091
3108363	G45092
3107859	G45093
3108096	G45094
3107861	G45095
3108105	G45096
3108103	G45097
3108100	G45098
3102732	G45064
3106013	G45065
3113933	G45066
3113936	G45067
3114810	G45068
3101042	G79036
3105915	G80103
3111924	G78973
3105892	G80446
3102672	G80535
3101027	G80530
3108887	G80318
3113510	G80302
3102752	G80512
3114882	G78522
3105955	G80454
3114880	G78523
3102749	G80520
3108879	G78653
3106061	G80578
